"13600: Framskrevet folkemengde 1. januar, etter statistikkvariabel, region, alder og år"

"statistikkvariabel";"region";"alder";"2022";"2023";"2024";"2025";"2026";"2027";"2028";"2029";"2030";"2031";"2032";"2033";"2034";"2035"
"Hovedalternativet (MMMM)";"4601 Bergen";"90 år og eldre";2618;2667;2662;2727;2718;2733;2798;2905;3008;3147;3211;3345;3528;3795
"Hovedalternativet (MMMM)";"1506 Molde";"0-17 år";6429;6362;6355;6331;6297;6264;6205;6190;6164;6141;6110;6130;6127;6139
"Hovedalternativet (MMMM)";"1506 Molde";"18-49 år";12437;12537;12546;12533;12587;12614;12671;12671;12673;12655;12665;12619;12593;12536
"Hovedalternativet (MMMM)";"1506 Molde";"50-66 år";7136;7124;7106;7083;6999;6936;6887;6861;6845;6859;6822;6803;6780;6810
"Hovedalternativet (MMMM)";"1506 Molde";"67-79 år";4327;4457;4557;4617;4649;4673;4697;4669;4698;4725;4771;4824;4854;4872
"Hovedalternativet (MMMM)";"1506 Molde";"80-89 år";1306;1361;1433;1506;1623;1761;1882;2039;2118;2205;2291;2337;2409;2446
"Hovedalternativet (MMMM)";"1506 Molde";"90 år og eldre";367;363;347;354;353;350;349;356;381;386;399;429;461;500
"Hovedalternativet (MMMM)";"5001 Trondheim - Tråante";"0-17 år";40685;41057;41197;41213;41258;41252;41214;41186;41274;41399;41527;41667;41822;41980
"Hovedalternativet (MMMM)";"5001 Trondheim - Tråante";"18-49 år";102572;105116;106649;107425;108058;108586;109083;109496;109833;110076;110271;110380;110520;110590
"Hovedalternativet (MMMM)";"5001 Trondheim - Tråante";"50-66 år";39383;39855;40358;40748;41028;41343;41618;41988;42286;42560;42831;43048;43211;43497
"Hovedalternativet (MMMM)";"5001 Trondheim - Tråante";"67-79 år";20521;21010;21447;21814;22141;22298;22460;22641;22971;23398;23792;24244;24689;25072
"Hovedalternativet (MMMM)";"5001 Trondheim - Tråante";"80-89 år";5958;6250;6682;7165;7689;8315;8886;9425;9798;10169;10524;10887;11195;11434
"Hovedalternativet (MMMM)";"5001 Trondheim - Tråante";"90 år og eldre";1377;1407;1400;1415;1428;1454;1467;1513;1616;1686;1816;1968;2148;2355
"Hovedalternativet (MMMM)";"1833 Rana";"0-17 år";5003;4919;4849;4771;4691;4625;4526;4457;4406;4352;4311;4294;4251;4244
"Hovedalternativet (MMMM)";"1833 Rana";"18-49 år";10157;10094;10009;9950;9916;9895;9914;9898;9885;9871;9840;9772;9737;9680
"Hovedalternativet (MMMM)";"1833 Rana";"50-66 år";6108;6091;6056;5990;5937;5841;5774;5685;5592;5490;5398;5342;5259;5160
"Hovedalternativet (MMMM)";"1833 Rana";"67-79 år";3399;3462;3527;3548;3558;3593;3595;3654;3686;3764;3829;3871;3909;3954
"Hovedalternativet (MMMM)";"1833 Rana";"80-89 år";1141;1169;1220;1316;1392;1463;1545;1602;1668;1710;1741;1780;1835;1872
"Hovedalternativet (MMMM)";"1833 Rana";"90 år og eldre";284;301;301;295;300;318;335;348;362;367;390;405;430;469
"Hovedalternativet (MMMM)";"5401 Tromsø";"0-17 år";15274;15255;15147;14950;14827;14699;14623;14514;14475;14511;14520;14550;14552;14591
"Hovedalternativet (MMMM)";"5401 Tromsø";"18-49 år";36550;36768;36840;36815;36839;36946;37044;37254;37290;37252;37213;37140;37115;37068
"Hovedalternativet (MMMM)";"5401 Tromsø";"50-66 år";15802;15998;16186;16305;16385;16340;16394;16298;16330;16317;16315;16318;16208;16142
"Hovedalternativet (MMMM)";"5401 Tromsø";"67-79 år";7498;7705;7897;8068;8208;8400;8467;8617;8715;8889;9075;9212;9432;9599
"Hovedalternativet (MMMM)";"5401 Tromsø";"80-89 år";2047;2175;2323;2509;2674;2858;3060;3246;3430;3578;3705;3877;4043;4170
"Hovedalternativet (MMMM)";"5401 Tromsø";"90 år og eldre";373;383;382;394;405;427;445;464;507;541;590;639;694;769
